libelle_region,code_region,date,indicateur,valeur
Bretagne,53,01/01/2002,Production d'électricité par éolien terrestre (Mwh),21248.0
Bretagne,53,01/01/2003,Production d'électricité par éolien terrestre (Mwh),33565.0
Bretagne,53,01/01/2004,Production d'électricité par éolien terrestre (Mwh),45944.0
Bretagne,53,01/01/2005,Production d'électricité par éolien terrestre (Mwh),127501.0
Bretagne,53,01/01/2006,Production d'électricité par éolien terrestre (Mwh),270914.0
Bretagne,53,01/01/2007,Production d'électricité par éolien terrestre (Mwh),427404.0
Bretagne,53,01/01/2008,Production d'électricité par éolien terrestre (Mwh),555153.0
Bretagne,53,01/01/2009,Production d'électricité par éolien terrestre (Mwh),740441.0
Bretagne,53,01/01/2010,Production d'électricité par éolien terrestre (Mwh),956025.0
Bretagne,53,01/01/2011,Production d'électricité par éolien terrestre (Mwh),1196530.0
Bretagne,53,01/01/2012,Production d'électricité par éolien terrestre (Mwh),1260333.0
Bretagne,53,01/01/2013,Production d'électricité par éolien terrestre (Mwh),1373408.0
Bretagne,53,01/01/2014,Production d'électricité par éolien terrestre (Mwh),1439007.0
Bretagne,53,01/01/2015,Production d'électricité par éolien terrestre (Mwh),1521734.0
Bretagne,53,01/01/2016,Production d'électricité par éolien terrestre (Mwh),1615533.0
Bretagne,53,01/01/2017,Production d'électricité par éolien terrestre (Mwh),1533986.0
Bretagne,53,01/01/2018,Production d'électricité par éolien terrestre (Mwh),1803955.0
Bretagne,53,01/01/2019,Production d'électricité par éolien terrestre (Mwh),1937387.0
Bretagne,53,01/01/2020,Production d'électricité par éolien terrestre (Mwh),2239880.0
Bretagne,53,01/01/2021,Production d'électricité par éolien terrestre (Mwh),1942111.0
Bretagne,53,01/01/2022,Production d'électricité par éolien terrestre (Mwh),2022468.0
Bretagne,53,01/01/2023,Production d'électricité par éolien terrestre (Mwh),2486776.0
Bretagne,53,01/01/2024,Production d'électricité par éolien terrestre (Mwh),2222562.0
Bretagne,53,01/01/2000,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2001,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2002,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2003,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2004,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2005,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2006,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2007,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2008,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2009,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2010,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2011,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2012,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2013,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2014,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2015,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2016,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2017,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2018,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2019,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2020,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2021,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2022,Production d'électricité par éolien en mer (Mwh),0.0
Bretagne,53,01/01/2023,Production d'électricité par éolien en mer (Mwh),114603.0
Bretagne,53,01/01/2024,Production d'électricité par éolien en mer (Mwh),1203559.0
Bretagne,53,01/01/2008,Puissance installée d'électricité par panneaux solaires photovoltaïques (kw),0.0
Bretagne,53,01/01/2009,Puissance installée d'électricité par panneaux solaires photovoltaïques (kw),275.0
Bretagne,53,01/01/2010,Puissance installée d'électricité par panneaux solaires photovoltaïques (kw),7515.0
Bretagne,53,01/01/2011,Puissance installée d'électricité par panneaux solaires photovoltaïques (kw),17164.0
Bretagne,53,01/01/2012,Puissance installée d'électricité par panneaux solaires photovoltaïques (kw),23821.0
Bretagne,53,01/01/2013,Puissance installée d'électricité par panneaux solaires photovoltaïques (kw),26552.0
Bretagne,53,01/01/2014,Puissance installée d'électricité par panneaux solaires photovoltaïques (kw),29267.0
Bretagne,53,01/01/2015,Puissance installée d'électricité par panneaux solaires photovoltaïques (kw),31100.0
Bretagne,53,01/01/2016,Puissance installée d'électricité par panneaux solaires photovoltaïques (kw),32234.0
Bretagne,53,01/01/2017,Puissance installée d'électricité par panneaux solaires photovoltaïques (kw),34933.0
Bretagne,53,01/01/2018,Puissance installée d'électricité par panneaux solaires photovoltaïques (kw),40949.0
