libelle_commune,code_commune,date,indicateur,valeur
Bourbriac,22013,01/01/2023,Points de recharge pour véhicules électriques,2.0
Bourbriac,22013,01/01/2024,Points de recharge pour véhicules électriques,2.0
Bourbriac,22013,01/01/2025,Points de recharge pour véhicules électriques,2.0
Bourg-Blanc,29015,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bourg-Blanc,29015,01/01/2023,Points de recharge pour véhicules électriques,2.0
Bourg-Blanc,29015,01/01/2024,Points de recharge pour véhicules électriques,2.0
Bourg-Blanc,29015,01/01/2025,Points de recharge pour véhicules électriques,2.0
Bourg-des-Comptes,35033,01/01/2022,Points de recharge pour véhicules électriques,2.0
Bourg-des-Comptes,35033,01/01/2023,Points de recharge pour véhicules électriques,2.0
Bourg-des-Comptes,35033,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bourg-des-Comptes,35033,01/01/2025,Points de recharge pour véhicules électriques,2.0
Bourgbarré,35032,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bourgbarré,35032,01/01/2023,Points de recharge pour véhicules électriques,0.0
Bourgbarré,35032,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bourgbarré,35032,01/01/2025,Points de recharge pour véhicules électriques,0.0
Bourseul,22014,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bourseul,22014,01/01/2023,Points de recharge pour véhicules électriques,2.0
Bourseul,22014,01/01/2024,Points de recharge pour véhicules électriques,2.0
Bourseul,22014,01/01/2025,Points de recharge pour véhicules électriques,2.0
Bovel,35035,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bovel,35035,01/01/2023,Points de recharge pour véhicules électriques,0.0
Bovel,35035,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bovel,35035,01/01/2025,Points de recharge pour véhicules électriques,0.0
Brandivy,56022,01/01/2022,Points de recharge pour véhicules électriques,0.0
Brandivy,56022,01/01/2023,Points de recharge pour véhicules électriques,0.0
Brandivy,56022,01/01/2024,Points de recharge pour véhicules électriques,0.0
Brandivy,56022,01/01/2025,Points de recharge pour véhicules électriques,0.0
Brandérion,56021,01/01/2022,Points de recharge pour véhicules électriques,0.0
Brandérion,56021,01/01/2023,Points de recharge pour véhicules électriques,0.0
Brandérion,56021,01/01/2024,Points de recharge pour véhicules électriques,0.0
Brandérion,56021,01/01/2025,Points de recharge pour véhicules électriques,0.0
